STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,KOR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2017,3.433192
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2015,2.140406
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2014,3.160173
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2013,1.71847
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2012,1.52826
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2011,0.851438
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2010,2.260545
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2009,-4.587408
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2008,-0.049412
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2007,2.930911
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2025,1.323384
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2024,1.088126
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2023,0.27165
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_GROWTH(2.0),I,A,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2022,5.149704
