FREQ,REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
M,FR,771,2022-07,6.080827
M,FR,771,2022-08,5.913125
M,FR,771,2022-09,5.551915
M,FR,771,2022-10,6.200466
M,FR,771,2022-11,6.15013
M,FR,771,2022-12,5.850719
M,FR,771,2023-01,5.993341
M,FR,771,2023-02,6.278686
M,FR,771,2023-03,5.701873
M,FR,771,2023-04,5.884473
M,FR,771,2023-05,5.119943
M,FR,771,2023-06,4.531319
M,FR,771,2023-07,4.288119
M,FR,771,2023-08,4.859764
M,FR,771,2023-09,4.896221
M,FR,771,2023-10,3.977173
M,FR,771,2023-11,3.474532
M,FR,771,2023-12,3.705326
M,FR,771,2024-01,3.132635
M,FR,771,2024-02,2.962515
M,FR,771,2024-03,2.294717
M,FR,771,2024-04,2.187234
M,FR,771,2024-05,2.273501
M,FR,771,2024-06,2.167446
M,FR,771,2024-07,2.302268
M,FR,771,2024-08,1.825217
M,FR,771,2024-09,1.099273
M,FR,771,2024-10,1.232796
M,FR,771,2024-11,1.260255
M,FR,771,2024-12,1.317679
M,FR,771,2025-01,1.649886
M,FR,771,2025-02,0.796913
M,FR,771,2025-03,0.761697
M,FR,771,2025-04,0.824519
M,FR,771,2025-05,0.65773
M,FR,771,2025-06,0.965058
M,FR,771,2025-07,0.996512
M,FR,771,2025-08,0.883859
M,FR,771,2025-09,1.162596
M,FR,771,2025-10,0.942531
M,FR,771,2025-11,0.902105
M,FR,771,2025-12,0.791997
M,GB,771,2007-01,2.675159
M,GB,771,2007-02,2.791878
M,GB,771,2007-03,3.168568
M,GB,771,2007-04,2.770781
M,GB,771,2007-05,2.377972
M,GB,771,2007-06,2.372035
M,GB,771,2007-07,1.875
M,GB,771,2007-08,1.741294
M,GB,771,2007-09,1.73913
M,GB,771,2007-10,2.109181
M,GB,771,2007-11,2.10396
M,GB,771,2007-12,2.091021
M,GB,771,2008-01,2.233251
M,GB,771,2008-02,2.469136
M,GB,771,2008-03,2.457002
M,GB,771,2008-04,2.941176
M,GB,771,2008-05,3.422983
M,GB,771,2008-06,3.902439
M,GB,771,2008-07,4.417178
M,GB,771,2008-08,4.767726
M,GB,771,2008-09,5.128205
M,GB,771,2008-10,4.374241
M,GB,771,2008-11,4.0
M,GB,771,2008-12,3.012048
M,GB,771,2009-01,3.033981
M,GB,771,2009-02,3.13253
M,GB,771,2009-03,2.877698
M,GB,771,2009-04,2.380952
M,GB,771,2009-05,2.12766
M,GB,771,2009-06,1.760563
M,GB,771,2009-07,1.880141
M,GB,771,2009-08,1.516919
M,GB,771,2009-09,1.16144
M,GB,771,2009-10,1.513388
M,GB,771,2009-11,1.981352
M,GB,771,2009-12,2.923977
M,GB,771,2010-01,3.415783
M,GB,771,2010-02,3.037383
M,GB,771,2010-03,3.379953
M,GB,771,2010-04,3.72093
M,GB,771,2010-05,3.472222
M,GB,771,2010-06,3.229527
M,GB,771,2010-07,2.998847
M,GB,771,2010-08,3.218391
M,GB,771,2010-09,3.099885
M,GB,771,2010-10,3.211009
M,GB,771,2010-11,3.2
M,GB,771,2010-12,3.636364
M,GB,771,2011-01,3.986333
M,GB,771,2011-02,4.30839
M,GB,771,2011-03,3.945885
M,GB,771,2011-04,4.484305
M,GB,771,2011-05,4.474273
M,GB,771,2011-06,4.24581
M,GB,771,2011-07,4.479283
M,GB,771,2011-08,4.454343
M,GB,771,2011-09,5.122494
M,GB,771,2011-10,5.0
M,GB,771,2011-11,4.761905
M,GB,771,2011-12,4.276316
M,GB,771,2012-01,3.614458
M,GB,771,2012-02,3.369565
M,GB,771,2012-03,3.470716
M,GB,771,2012-04,3.004292
M,GB,771,2012-05,2.67666
M,GB,771,2012-06,2.357985
M,GB,771,2012-07,2.465166
M,GB,771,2012-08,2.452026
M,GB,771,2012-09,2.224576
M,GB,771,2012-10,2.645503
M,GB,771,2012-11,2.748414
M,GB,771,2012-12,2.628812
M,GB,771,2013-01,2.642706
M,GB,771,2013-02,2.839117
M,GB,771,2013-03,2.830189
M,GB,771,2013-04,2.395833
M,GB,771,2013-05,2.711157
M,GB,771,2013-06,2.931937
M,GB,771,2013-07,2.824268
M,GB,771,2013-08,2.705515
M,GB,771,2013-09,2.694301
M,GB,771,2013-10,2.164948
M,GB,771,2013-11,2.057613
M,GB,771,2013-12,2.04918
M,GB,771,2014-01,1.956746
M,GB,771,2014-02,1.738241
M,GB,771,2014-03,1.630989
M,GB,771,2014-04,1.831129
M,GB,771,2014-05,1.522843
M,GB,771,2014-06,1.932859
M,GB,771,2014-07,1.62767
M,GB,771,2014-08,1.519757
M,GB,771,2014-09,1.210898
M,GB,771,2014-10,1.311806
M,GB,771,2014-11,0.907258
M,GB,771,2014-12,0.502008
M,GB,771,2015-01,0.30303
M,GB,771,2015-02,0.0
M,GB,771,2015-03,0.0
M,GB,771,2015-04,-0.1998
M,GB,771,2015-05,0.1
M,GB,771,2015-06,0.0
M,GB,771,2015-07,0.1001
M,GB,771,2015-08,0.0998
M,GB,771,2015-09,-0.099701
M,GB,771,2015-10,-0.099602
M,GB,771,2015-11,0.1998
M,GB,771,2015-12,0.1998
M,GB,771,2016-01,0.20141
M,GB,771,2016-02,0.301508
M,GB,771,2016-03,0.501505
M,GB,771,2016-04,0.3003
M,GB,771,2016-05,0.2997
M,GB,771,2016-06,0.399202
M,GB,771,2016-07,0.6
M,GB,771,2016-08,0.598205
M,GB,771,2016-09,0.898204
M,GB,771,2016-10,0.897308
M,GB,771,2016-11,1.09671
M,GB,771,2016-12,1.595214
M,GB,771,2017-01,1.909548
M,GB,771,2017-02,2.304609
M,GB,771,2017-03,2.295409
M,GB,771,2017-04,2.694611
M,GB,771,2017-05,2.888446
M,GB,771,2017-06,2.683897
M,GB,771,2017-07,2.584493
M,GB,771,2017-08,2.874133
M,GB,771,2017-09,2.967359
M,GB,771,2017-10,2.964427
M,GB,771,2017-11,3.155819
M,GB,771,2017-12,2.944063
M,GB,771,2018-01,2.95858
M,GB,771,2018-02,2.742409
